Cisco Packet Tracer 8.2.2 64Bit,8.2.2.400
Git,2.49.0
HP Documentation,1.0.0.1
Microsoft 365 - en-us,16.0.18730.20168
Office 16 Click-to-Run Licensing Component,16.0.18730.20168
Office 16 Click-to-Run Extensibility Component,16.0.18623.20156
Office 16 Click-to-Run Localization Component,16.0.11425.20202
Microsoft Teams Meeting Add-in for Microsoft Office,1.25.04401
Google Chrome,136.0.7103.114
Microsoft Edge,136.0.3240.76
Microsoft Edge WebView2 Runtime,136.0.3240.76
WildTangent Games,1.1.1.47
HP Audio Switch,1.0.179.0
HP Connection Optimizer,2.0.15.0
WildTangent ShortcutProvider,6.0.0.59
WildTangent Helper,5.0.0.331
